Symbol,EntrezGene ID,Description,Imported ID,Fold Change,P-Value,Test Expression,Control Expression,Rank
Prss23,308807,"protease, serine, 23",1373152_at,8,5.60E-10,4421.7,552.8,1
Igfbp5,25285,insulin-like growth factor binding protein 5,1370960_at,-6.19,5.00E-14,471.9,2921.2,2
Lox,24914,lysyl oxidase,1368171_at,5.94,2.00E-08,2076.5,349.9,3
AI407163,NA, ,1376944_at,-5.34,1.10E-05,200.9,1072.6,4
Lox,24914,lysyl oxidase,1368172_a_at,5.02,3.00E-08,1619.6,322.4,5
Mmp9,81687,matrix metallopeptidase 9,1398275_at,4.87,5.70E-11,2130.1,437.4,6
Fcrl2,310694,"Fc receptor-like S, scavenger receptor",1395126_at,4.67,1.00E-06,745.3,159.6,7
Trh,25569,thyrotropin releasing hormone,1368912_at,4.53,3.90E-08,2637.2,582.2,8
S100a4,24615,S100 calcium-binding protein A4,1367846_at,4.35,2.10E-09,2156,496.2,9
AI555775,NA, ,1378531_at,4.2,1.80E-09,15010.9,3570.7,10
Plk5,314627,polo-like kinase 5,1393723_at,-4.16,4.30E-10,1813.8,7548.3,11
Vim,81818,vimentin,1367574_at,4.09,0.0004,2298.1,561.6,12
Gfap,24387,glial fibrillary acidic protein,1368353_at,4.05,2.00E-06,29787.1,7349.8,13
Ryr1,114207,ryanodine receptor 1-like,1390355_at,-3.97,1.60E-08,474.2,1880.6,14
Fam19a1,500266,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A1",1396339_at,-3.93,5.50E-12,1794.3,7058.2,15
Rprm,680110,"reprimo, TP53 dependent G2 arrest mediator candidate",1390672_at,3.92,1.50E-08,2050.5,523,16
BF554576,NA, ,1383210_at,3.91,7.50E-09,1624.9,415.6,17
Lgals3,83781,"lectin, galactoside-binding, soluble, 3",1386879_at,3.9,3.80E-07,1415.6,362.7,18
Pkib,24678,"protein kinase (cAMP-dependent, catalytic) inhibitor beta",1387459_at,-3.7,0.0001,796.2,2949.4,19
Gcnt1,64043,"glucosaminyl (N-acetyl) transferase 1, core 2",1368770_at,3.67,1.90E-05,1064,289.6,20
Klhl14,364823,kelch-like 14 (Drosophila),1379458_at,-3.61,3.00E-06,82,296.3,21
Gpc3,25236,glypican 3,1368395_at,-3.55,7.40E-09,653.8,2321.4,22
Gdf10,79216,growth differentiation factor 10,1368459_at,-3.43,1.10E-07,490.5,1683.7,23
Acvr1c,245921,"activin A receptor, type IC",1370534_at,3.42,4.90E-06,2293.1,671.3,24
Cxcl12,24772,chemokine (C-X-C motif) ligand 12,1369633_at,-3.36,0.0002,4621.6,15533.7,25
BE104180,NA, ,1375661_at,3.36,3.50E-06,2631.5,783.2,25
Cdh13,192248,cadherin 13,1369425_at,-3.27,8.60E-08,1091,3570.5,27
Car3,54232,carbonic anhydrase 3,1367896_at,3.23,0.0044,1657.7,513,28
Rbp1,25056,"retinol binding protein 1, cellular",1367939_at,3.22,8.00E-08,3611.3,1119.9,29
AI030806,NA, ,1380347_at,3.2,3.60E-07,1713,535.2,30
S100a3,114216,S100 calcium binding protein A3,1368382_at,3.19,6.20E-10,1492.6,467.7,31
C1s,192262,"complement component 1, s subcomponent",1387893_at,3.19,3.40E-10,3192.8,1000.9,31
BE117330,NA, ,1371450_at,3.16,3.70E-07,2495.3,788.5,33
AW523029,NA, ,1379214_at,-3.16,0.0001,410.4,1295.1,33
Gadd45a,25112,"growth arrest and DNA-damage-inducible, alpha",1368947_at,3.15,0.0006,1243.7,394.7,35
Cdh13,192248,cadherin 13,1373102_at,-3.07,1.00E-07,911.9,2796.7,36
BF399075,NA, ,1373314_at,-3.07,2.00E-09,469.6,1441.7,36
Igfbp5,25285,insulin-like growth factor binding protein 5,1387348_at,-3.03,3.50E-08,375.7,1139.6,38
Rasd2,171099,"RASD family, member 2",1370372_at,-3.01,4.10E-10,474.6,1430.3,39
AI602542,NA, ,1382211_at,-3.01,5.90E-07,169.5,509.6,39
AI102517,NA, ,1372750_at,-2.95,1.40E-05,718.3,2115.9,41
Col6a3,367313,"collagen, type VI, alpha 3",1389966_at,2.9,0.0004,709.1,244.8,42
BE104324,NA, ,1391464_at,2.9,2.90E-07,986.5,340.5,42
LOC689064,689064,beta-globin,1371245_a_at,-2.87,0.0019,3584.4,10286.2,44
Plin2,298199,perilipin 2,1382680_at,2.87,1.20E-06,1429.5,498.4,44
BE112469,NA, ,1381145_at,-2.86,2.50E-09,698.3,1997,46
Hspb1,24471,heat shock protein 1,1367577_at,2.85,7.90E-05,610.6,214.4,47
AA997659,NA, ,1379072_at,2.84,3.40E-07,2093.4,736.9,48
BE118993,NA, ,1381274_at,-2.77,3.50E-05,281.6,779.2,49
Mmp9,81687,matrix metallopeptidase 9,1369166_at,2.73,5.90E-06,241,88.4,50
Exph5,315663,exophilin 5,1377934_at,-2.73,5.70E-09,384.4,1048.5,50
AA818585,NA, ,1392110_at,-2.72,1.10E-05,139.5,380,52
