Symbol,Fold Change,P-Value,Rank
KLRB1,1.4646,7.13E-107,1
DMRT1,1.425,6.35E-28,2
ROBO2,1.3918,2.19E-37,3
POSTN,1.3834,1.54E-43,4
HS3ST4,1.3674,1.40E-149,5
RELN,1.3389,2.21E-91,6
CTC-340A15.2,1.3197,6.60E-69,7
COL25A1,1.3179,1.58E-10,8
IL1RAPL2,1.317,5.67E-82,9
EFNA5,1.3121,1.21E-199,10
ASIC2,1.3048,9.38E-123,11
ADARB2,1.3022,5.43E-15,12
AC108142.1,1.3018,1.39E-96,13
DPP10,1.2767,1.74E-77,14
MGAT4C,1.2719,2.90E-120,15
PCDH11X,1.2644,4.36E-85,16
CDH12,1.257,1.08E-79,17
BHLHE22,1.2515,1.27E-133,18
ACVR2A,1.2492,7.13E-52,19
ATP10A,1.2489,1.14E-154,20
PDLIM5,1.2462,1.38E-18,21
PEG10,1.2427,6.69E-109,22
KCNQ5,1.2373,2.94E-96,23
GPR155,1.2331,4.71E-129,24
CPNE4,1.2311,2.22E-112,25
1-Mar,1.2304,7.02E-70,26
TENM3,1.2283,5.43E-164,27
RP1-15D23.2,1.224,1.13E-12,28
ZNF804B,1.2226,8.12E-45,29
CAMKV,1.2213,2.51E-210,30
SEMA3E,1.2209,4.55E-184,31
PDE10A,1.2168,7.22E-142,32
OPCML,1.2142,1.40E-41,33
KHDRBS2,1.2121,5.00E-39,34
TRPC6,1.2008,3.86E-72,35
GDA,1.1968,3.86E-178,36
AC011288.2,1.1956,2.85E-53,37
XKR4,1.1937,6.07E-85,38
ITGA9,1.1937,6.38E-127,39
PTPRD,1.1913,7.56E-08,40
SYT10,1.1901,7.22E-170,41
IL1RAP,1.1892,5.27E-27,42
HBA1,1.1884,4.09E-28,43
FSTL4,1.1872,1.04E-45,44
CHRM3,1.1869,4.70E-39,45
TRPC5,1.1814,6.45E-98,46
RALYL,1.1801,3.96E-28,47
LRRTM3,1.1779,3.02E-09,48
SH3RF3,1.177,2.16E-43,49
KIT,1.1752,1.09E-188,50
WIPF3,1.1745,1.77E-50,51
NWD2,1.1725,6.42E-150,52
NEB,1.1725,3.47E-53,53
PTPRT,1.172,6.32E-11,54
CALM1,1.1716,5.61E-15,55
STMN4,1.1699,6.14E-168,56
LDHA,1.168,1.17E-262,57
APLP1,1.1665,2.91E-57,58
SCG2,1.1657,1.25E-65,59
NELL1,1.1645,1.08E-14,60
RGS4,1.163,7.55E-172,61
THY1,1.1617,2.74E-23,62
TRHDE,1.1614,3.17E-69,63
RP11-1A16.1,1.1608,2.07E-29,64
NRGN,1.1595,9.86E-60,65
L3MBTL4,1.1587,1.30E-45,66
GPC6,1.1583,1.89E-89,67
HECW1,1.1564,1.91E-13,68
CTD-2544M6.1,1.1563,2.18E-96,69
B3GALT2,1.1563,4.24E-197,70
MLIP,1.1562,3.95E-99,71
SULF2,1.1555,9.48E-154,72
MATN1,1.1553,6.29E-49,73
FGFR1,1.154,1.58E-187,74
FRAS1,1.1534,1.08E-42,75
YWHAH,1.1531,2.57E-51,76
TSPAN7,1.1527,3.35E-41,77
SNCB,1.1526,1.03E-135,78
ADAMTSL1,1.1516,5.63E-07,79
VGLL3,1.1504,3.92E-81,80
PCDH20,1.1495,9.28E-28,81
RAB3B,1.1491,2.22E-91,82
SOX5,1.1469,5.66E-44,83
PROX1,1.1466,1.60E-43,84
FOXP2,1.1464,8.18E-09,85
LDHB,1.1463,1.29E-194,86
ENC1,1.1455,1.77E-41,87
SLC44A5,1.1452,4.07E-14,88
MAMLD1,1.1449,1.53E-37,89
HPCAL1,1.1448,1.04E-201,90
PTPRG,1.1444,5.76E-70,91
TSPAN18,1.1441,3.31E-212,92
NXPH1,1.1439,3.92E-53,93
RASAL1,1.1436,2.27E-79,94
PRNP,1.1436,6.83E-36,95
RPS26,1.1423,5.24E-97,96
HOMER1,1.1421,2.38E-73,97
LRFN2,1.142,4.98E-92,98
SERPINI1,1.1418,2.65E-130,99
NTNG1,1.1413,1.47E-17,100
NORAD,1.1392,7.05E-75,101
GHR,1.1391,9.08E-109,102
