Symbol,EntrezGene ID,Description,Imported ID,Fold Change,Meta-qvalue,Rank
FGF2,2247,fibroblast growth factor 2 (basic),FGF2,-61.5063,1.10E-06,1
AHCYL1,10768,adenosylhomocysteinase-like 1,AHCYL1,-56.1196,8.50E-06,2
DTNA,1837,"dystrobrevin, alpha",DTNA,-54.6163,1.30E-05,3
TJP1,7082,tight junction protein 1,TJP1,-53.9354,1.30E-05,4
SLC1A1,6505,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1",SLC1A1,53.86,3.90E-05,5
MAPKAPK2,9261,mitogen-activated protein kinase-activated protein kinase 2,MAPKAPK2,-53.6456,1.30E-05,6
LARGE1,9215,like-glycosyltransferase,LARGE,50.94,9.70E-05,7
S100A13,6284,S100 calcium binding protein A13,S100A13,-50.763,4.00E-05,8
ANP32E,81611,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E",ANP32E,-49.9076,5.10E-05,9
RBBP6,5930,retinoblastoma binding protein 6,RBBP6,-49.5641,5.10E-05,10
GNG12,55970,"guanine nucleotide binding protein (G protein), gamma 12",GNG12,-49.3951,5.10E-05,11
PPIP5K1,9677,diphosphoinositol pentakisphosphate kinase 1,HISPPD2A,48.42,0.0002,12
MXI1,4601,MAX interactor 1,MXI1,-48.0531,7.20E-05,13
PBXIP1,57326,pre-B-cell leukemia homeobox interacting protein 1,PBXIP1,-47.9913,7.20E-05,14
ADGRA3,166647,G protein-coupled receptor 125,GPR125,-47.8507,7.20E-05,15
ASPH,444,aspartate beta-hydroxylase,ASPH,-46.7415,0.0001,16
BCL2,596,B-cell CLL/lymphoma 2,BCL2,-46.4147,0.0001,17
PRDX6,9588,peroxiredoxin 6,PRDX6,-46.3177,0.0001,18
FYN,2534,"FYN oncogene related to SRC, FGR, YES",FYN,-46.2639,0.0001,19
KCNAB1,7881,"potassium voltage-gated channel, shaker-related subfamily, beta member 1",KCNAB1,45.92,0.0003,20
DLG3,1741,"discs, large homolog 3 (Drosophila)",DLG3,45.88,0.0003,21
PRKCD,5580,"protein kinase C, delta",PRKCD,45.48,0.0004,22
CHD1,1105,chromodomain helicase DNA binding protein 1,CHD1,-45.4004,0.0001,23
PHIP,55023,pleckstrin homology domain interacting protein,CR600369,-45.3088,0.0001,24
PPP1R3C,5507,"protein phosphatase 1, regulatory subunit 3C",PPP1R3C,-45.0668,0.0001,25
LMNA,4000,lamin A/C,LMNA,-44.9406,0.0001,26
ELP5,23587,elongator acetyltransferase complex subunit 5,C17orf81,44.83,0.0001,27
RAB31,11031,"RAB31, member RAS oncogene family",RAB31,-44.771,0.0001,28
RIT2,6014,Ras-like without CAAX 2,RIT2,44.69,0.0004,29
NEBL,10529,nebulette,NEBL,-44.6825,0.0001,30
GNA12,2768,guanine nucleotide binding protein (G protein) alpha 12,GNA12,-44.6678,0.0001,31
SYN2,6854,synapsin II,SYN2,44.28,0.0004,32
SSTR2,6752,somatostatin receptor 2,SSTR2,44.13,0.0004,33
PMM1,5372,phosphomannomutase 1,PMM1,43.95,0.0004,34
SPON1,10418,"spondin 1, extracellular matrix protein",SPON1,-43.866,0.0002,35
ZBTB20,26137,zinc finger and BTB domain containing 20,BC016962,-43.8164,0.0002,36
CRHBP,1393,corticotropin releasing hormone binding protein,CRHBP,43.64,0.0004,37
EML3,256364,echinoderm microtubule associated protein like 3,EML3,-43.595,0.0002,38
FAM53B,9679,"family with sequence similarity 53, member B",FAM53B,-43.5252,0.0002,39
TUSC3,7991,tumor suppressor candidate 3,TUSC3,43.5,0.0004,40
NNAT,4826,neuronatin,NNAT,43.48,0.0004,41
SMOX,54498,spermine oxidase,SMOX,-43.4101,0.0002,42
ACACB,32,acetyl-CoA carboxylase beta,ACACB,-43.3531,0.0002,43
IDH3B,3420,isocitrate dehydrogenase 3 (NAD+) beta,IDH3B,43.35,0.0004,44
NPY,4852,neuropeptide Y,NPY,43.35,0.0004,44
BAALC,79870,"brain and acute leukemia, cytoplasmic",BAALC,-43.3492,7.20E-05,46
PMP2,5375,peripheral myelin protein 2,PMP2,-43.3332,0.0002,47
TIMP3,7078,TIMP metallopeptidase inhibitor 3,TIMP3,-43.2815,0.0002,48
FAM208A,23272,"family with sequence similarity 208, member A",C3orf63,-43.2712,0.0002,49
SUMO3,6612,SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae),SUMO3,43.19,0.0004,50
ZNF24,7572,zinc finger protein 24,ZNF24,-43.1727,0.0002,51
ADAM11,4185,ADAM metallopeptidase domain 11,ADAM11,43.04,0.0004,52
TRIM14,9830,tripartite motif containing 14,TRIM14,-43.0021,0.0002,53
RPS6KA3,6197,"ribosomal protein S6 kinase, 90kDa, polypeptide 3",RPS6KA3,42.95,0.0004,54
KIAA0586,9786,KIAA0586,KIAA0586,-42.9327,0.0002,55
NELFA,7469,Wolf-Hirschhorn syndrome candidate 2,WHSC2,-42.8892,0.0002,56
SDS,10993,serine dehydratase,SDS,-42.8627,0.0002,57
TCF4,6925,transcription factor 4,TCF4,-42.8285,0.0002,58
NOTCH2,4853,notch 2,NOTCH2,-42.7587,0.0002,59
ARHGEF6,9459,Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6,ARHGEF6,-42.6621,0.0002,60
ITPR2,3709,"inositol 1,4,5-trisphosphate receptor, type 2",ITPR2,-42.5838,0.0002,61
SSPN,8082,sarcospan,SSPN,-42.4396,0.0002,62
SRGAP2,23380,SLIT-ROBO Rho GTPase activating protein 2,SRGAP2,42.42,0.0005,63
RHOBTB3,22836,Rho-related BTB domain containing 3,RHOBTB3,-42.3992,0.0002,64
ADD3,120,adducin 3 (gamma),ADD3,-42.2623,0.0002,65
HSD17B6,8630,hydroxysteroid (17-beta) dehydrogenase 6 homolog (mouse),HSD17B6,-41.9623,0.0002,66
GNB5,10681,"guanine nucleotide binding protein (G protein), beta 5",GNB5,41.94,0.0006,67
NT5E,4907,"5'-nucleotidase, ecto (CD73)",NT5E,-41.9305,0.0002,68
FKBP1B,2281,"FK506 binding protein 1B, 12.6 kDa",FKBP1B,41.92,0.0006,69
GPM6B,2824,glycoprotein M6B,GPM6B,-41.8931,0.0002,70
SARS,6301,seryl-tRNA synthetase,SARS,41.84,0.0006,71
AK1,203,adenylate kinase 1,AK1,-41.6722,0.0002,72
CASP7,840,"caspase 7, apoptosis-related cysteine peptidase",CASP7,-41.6201,0.0002,73
LRP10,26020,low density lipoprotein receptor-related protein 10,LRP10,-41.6194,0.0002,74
